id,brand,logo,product
1,Google,https://www.google.com/images/branding/googlelogo/2x/googlelogo_color_272x92dp.png,gViz
2,Google,https://www.google.com/images/branding/googlelogo/2x/googlelogo_color_272x92dp.png,Plex
3,Google,https://www.google.com/images/branding/googlelogo/2x/googlelogo_color_272x92dp.png,Google Charts
4,Looker,https://www.gstatic.com/devrel-devsite/prod/v75e3d64006adca2b8b590c38f10bf440310b485b03499ed9671198292b2883b7/cloud/images/favicons/onecloud/apple-icon.png,Looker
5,Looker,https://www.gstatic.com/devrel-devsite/prod/v75e3d64006adca2b8b590c38f10bf440310b485b03499ed9671198292b2883b7/cloud/images/favicons/onecloud/apple-icon.png,Looker Studio
6,Looker,https://www.gstatic.com/devrel-devsite/prod/v75e3d64006adca2b8b590c38f10bf440310b485b03499ed9671198292b2883b7/cloud/images/favicons/onecloud/apple-icon.png,Looker Studio Pro
7,Malloy,https://docs.malloydata.dev/img/logo.png,Malloy
8,Malloy,https://docs.malloydata.dev/img/logo.png,Malloy Composer
9,Malloy,https://docs.malloydata.dev/img/logo.png,Malloy Py
10,BrokenBrand,bad_url,Viz
