"fdc_id_of_sample_food","fdc_id_of_acquisition_food"
"319874","319876"
"319874","319875"
"319879","319881"
"319879","319880"
"319885","319890"
"319885","319887"
"319885","319888"
"319885","319891"
"319885","319889"
"319885","319886"
"319894","319896"
"319894","319897"
"319894","319895"
"319894","319898"
"319901","319903"
"319901","319905"
"319901","319904"
"319901","319902"
"319921","319923"
"319921","319924"
"319921","319922"
"319921","319925"
"319939","319943"
"319939","319941"
"319939","319942"
"319939","319940"
"319958","319963"
"319958","319960"
"319958","319959"
"319958","319961"
"319958","319962"
"319958","319964"
"319978","319980"
"319978","319979"
"319984","319989"
"319984","319985"
"319984","319986"
"319984","319987"
"319984","319990"
"319984","319988"
"320005","320007"
"320005","320006"
"320005","320008"
"320005","320010"
"320005","320009"
"320025","320026"
"320031","320032"
"320037","320038"
"320043","320044"
"320062","320063"
"320085","320086"
"320104","320105"
"320124","320125"
"320143","320144"
"320165","320166"
"320172","320173"
"320179","320180"
"320185","320186"
"320191","320192"
"320197","320198"
"320203","320204"
"320210","320211"
"320230","320231"
"320253","320254"
"320275","320276"
"320298","320299"
"320307","320308"
"320313","320314"
"320332","320333"
"320353","320355"
"320353","320354"
"320357","320368"
"320357","320365"
"320357","320369"
"320357","320355"
"320357","320362"
"320357","320376"
"320357","320354"
"320357","320375"
"320357","320363"
"320357","320359"
"320357","320378"
"320357","320364"
"320357","320360"
"320357","320379"
"320357","320367"
"320357","320358"
"320357","320371"
"320357","320374"
"320357","320361"
"320357","320370"
"320357","320373"
"320357","320372"
"320357","320377"
"320357","320366"
"320382","320369"
"320382","320358"
"320384","320361"
"320384","320354"
"320384","320368"
"320384","320370"
"320384","320359"
"320384","320358"
"320384","320371"
"320384","320360"
"320384","320379"
"320384","320369"
"320384","320355"
"320384","320372"
"320388","320370"
"320388","320359"
"320390","320371"
"320390","320360"
"320392","320361"
"320392","320372"
"320394","320373"
"320394","320362"
"320396","320364"
"320396","320377"
"320396","320374"
"320396","320378"
"320396","320375"
"320396","320362"
"320396","320367"
"320396","320373"
"320396","320363"
"320396","320366"
"320396","320376"
"320396","320365"
"320400","320363"
"320400","320374"
"320402","320364"
"320402","320375"
"320404","320376"
"320404","320365"
"320406","320366"
"320406","320377"
"320408","320378"
"320408","320367"
"320410","320368"
"320410","320379"
"320413","320415"
"320413","320414"
"320418","320420"
"320418","320419"
"320423","320425"
"320423","320424"
"320428","320429"
"320428","320430"
"320433","320435"
"320433","320434"
"320438","320440"
"320438","320439"
"320443","320445"
"320443","320444"
"320443","320447"
"320443","320446"
"320451","320453"
"320451","320454"
"320451","320452"
"320451","320455"
"320460","320461"
"320460","320462"
"320460","320463"
"320460","320464"
"320476","320477"
"320480","320477"
"320480","320482"
"320480","320481"
"320485","320486"
"320489","320491"
"320489","320490"
"320494","320495"
"320494","320496"
"320499","320500"
"320499","320495"
"320499","320501"
"320499","320496"
"320504","320501"
"320504","320500"
"320507","320508"
"320507","320509"
"320512","320513"
"320512","320516"
"320512","320514"
"320512","320515"
"321361","321362"
"321367","321368"
"321373","321374"
"321379","321380"
"321384","321385"
"321389","321390"
"321394","321395"
"321400","321401"
"321406","321407"
"321412","321413"
"321417","321418"
"321423","321424"
"321429","321430"
"321435","321436"
"321441","321442"
"321446","321447"
"321452","321453"
"321458","321459"
"321464","321465"
"321475","321476"
"321481","321482"
"321487","321488"
"321493","321494"
"321499","321500"
"321506","321509"
"321506","321507"
"321506","321508"
"321512","321518"
"321512","321516"
"321512","321513"
