"fdc_id","acquisition_date","market_class","treatment","state"
"335241","2016-11-11","Dark Red Kidney","Control","PR"
"335242","2016-11-11","Dark Red Kidney","Control","PR"
"335243","2016-11-11","Dark Red Kidney","Control","PR"
"335244","2016-11-11","Dark Red Kidney","Control","PR"
"335246","2016-11-11","Pink","Control","PR"
"335247","2016-11-11","Pink","Control","PR"
"335248","2016-11-11","Pink","Control","PR"
"335249","2016-11-11","Pink","Control","PR"
"335250","2016-11-11","Pink","Control","PR"
"335251","2016-11-11","Pink","Control","PR"
"335252","2016-11-11","Pink","Control","PR"
"335253","2016-11-11","Pink","Control","PR"
"335254","2016-11-11","Pink","Control","PR"
"335255","2016-11-11","Pink","Control","PR"
"335256","2016-11-11","Pink","Control","PR"
"335257","2016-11-11","Pink","Control","PR"
"335258","2016-11-11","Pink","Control","PR"
"335259","2016-11-11","Pink","Control","PR"
"335260","2016-11-11","Pink","Control","PR"
"335261","2016-11-11","Pink","Control","PR"
"335262","2016-11-11","Pink","Control","PR"
"335263","2016-11-11","Pink","Control","PR"
"335264","2016-11-11","Pink","Control","PR"
"335265","2016-11-11","Pink","Control","PR"
"335266","2016-11-11","Pink","Control","CO"
"335267","2016-11-11","Pink","Control","CO"
"335268","2016-11-11","Pink","Control","CO"
"335269","2016-11-11","Pink","Control","CO"
"335270","2016-11-11","Pink","Control","CO"
"335271","2016-11-11","Pink","Control","CO"
"335272","2016-11-11","Pink","Control","CO"
"335273","2016-11-11","Pink","Control","CO"
"335274","2016-11-11","Pink","Control","CO"
"335275","2016-11-11","Pink","Control","CO"
"335276","2016-11-11","Pink","Control","CO"
"335277","2016-11-11","Pink","Control","CO"
"335278","2016-11-11","Pink","Control","CO"
"335279","2016-11-11","Pink","Control","CO"
"335280","2016-11-11","Pink","Control","CO"
"335281","2016-11-11","Pink","Control","CO"
"335282","2016-11-11","Pink","Control","CO"
"335283","2016-11-11","Pink","Control","CO"
"335284","2016-11-11","Pink","Control","CO"
"335285","2016-11-11","Pink","Control","CO"
"335286","2016-11-11","Pink","Control","CO"
"335287","2016-11-11","Pink","Control","CO"
"335288","2016-11-11","Pink","Control","CO"
"335289","2016-11-11","Pink","Control","CO"
"335290","2016-11-11","Pink","Control","CO"
"335291","2016-11-11","Pink","Control","CO"
"335292","2016-11-11","Pink","Control","CO"
"335293","2016-11-11","Pink","Control","CO"
"335294","2016-11-11","Pink","Control","CO"
"335295","2016-11-11","Pink","Control","CO"
"335296","2016-11-11","Pink","Control","CO"
"335297","2016-11-11","Pink","Control","CO"
"335298","2016-11-11","Pink","Control","CO"
"335299","2016-11-11","Pink","Control","CO"
"335300","2016-11-11","Pink","Control","CO"
"335301","2016-11-11","Pink","Control","CO"
"335302","2016-11-11","Pink","Control","CO"
"335303","2016-11-11","Pink","Control","CO"
"335304","2016-11-11","Pink","Control","CO"
"335305","2016-11-11","Pink","Control","CO"
"335307","2016-11-11","Navy","Control","PR"
"335308","2016-11-11","Navy","Control","PR"
"335309","2016-11-11","Navy","Control","PR"
"335310","2016-11-11","Navy","Control","PR"
"335311","2016-11-11","Navy","Control","PR"
"335312","2016-11-11","Navy","Control","PR"
"335313","2016-11-11","Navy","Control","PR"
"335314","2016-11-11","Navy","Control","PR"
"335315","2016-11-11","Navy","Control","PR"
"335316","2016-11-11","Navy","Control","PR"
"335317","2016-11-11","Navy","Control","PR"
"335318","2016-11-11","Navy","Control","PR"
"335319","2016-11-11","Navy","Control","PR"
"335320","2016-11-11","Navy","Control","PR"
"335321","2016-11-11","Navy","Control","CO"
"335322","2016-11-11","Navy","Control","CO"
"335323","2016-11-11","Navy","Control","CO"
"335324","2016-11-11","Navy","Control","CO"
"335325","2016-11-11","Navy","Control","CO"
"335326","2016-11-11","Navy","Control","CO"
"335327","2016-11-11","Navy","Control","CO"
"335328","2016-11-11","Navy","Control","CO"
"335329","2016-11-11","Navy","Control","CO"
"335330","2016-11-11","Navy","Control","CO"
"335331","2016-11-11","Navy","Control","CO"
"335332","2016-11-11","Navy","Control","CO"
"335333","2016-11-11","Navy","Control","CO"
"335334","2016-11-11","Navy","Control","CO"
"335335","2016-11-11","Navy","Control","CO"
"335336","2016-11-11","Navy","Control","CO"
"335337","2016-11-11","Navy","Control","CO"
"335338","2016-11-11","Navy","Control","CO"
"335339","2016-11-11","Navy","Control","CO"
"335340","2016-11-11","Navy","Control","CO"
"335341","2016-11-11","Navy","Control","CO"
"335342","2016-11-11","Navy","Control","CO"
"335343","2016-11-11","Navy","Control","CO"
"335344","2016-11-11","Navy","Control","CO"
"335345","2016-11-11","Navy","Control","CO"
"335346","2016-11-11","Navy","Control","CO"
"335347","2016-11-11","Navy","Control","CO"
"335348","2016-11-11","Navy","Control","CO"
"335349","2016-11-11","Navy","Control","CO"
"335350","2016-11-11","Navy","Control","CO"
"335351","2016-11-11","Navy","Control","CO"
"335352","2016-11-11","Navy","Control","CO"
"335353","2016-11-11","Navy","Control","CO"
"335354","2016-11-11","Navy","Control","CO"
"335355","2016-11-11","Navy","Control","CO"
"335356","2016-11-11","Navy","Control","CO"
"335357","2016-11-11","Navy","Control","CO"
"335358","2016-11-11","Navy","Control","CO"
"335359","2016-11-11","Navy","Control","CO"
"335360","2016-11-11","Navy","Control","CO"
"335361","2016-11-11","Navy","Control","CO"
"335362","2016-11-11","Navy","Control","CO"
"335363","2016-11-11","Navy","Control","CO"
"335364","2016-11-11","Navy","Control","CO"
"335365","2016-11-11","Navy","Control","CO"
"335366","2016-11-11","Navy","Control","CO"
"335367","2016-11-11","Navy","Control","CO"
"335368","2016-11-11","Navy","Control","CO"
"335369","2016-11-11","Navy","Control","CO"
"335370","2016-11-11","Navy","Control","CO"
"335371","2016-11-11","Navy","Control","CO"
"335372","2016-11-11","Navy","Control","CO"
"335373","2016-11-11","Navy","Control","CO"
"335374","2016-11-11","Navy","Control","CO"
"335375","2016-11-11","Navy","Control","CO"
"335376","2016-11-11","Navy","Control","CO"
"335377","2016-11-11","Navy","Control","CO"
"335378","2016-11-11","Navy","Control","CO"
"335379","2016-11-11","Navy","Control","CO"
"335380","2016-11-11","Navy","Control","CO"
"335381","2016-11-11","Navy","Control","CO"
"335382","2016-11-11","Navy","Control","CO"
"335383","2016-11-11","Navy","Control","CO"
"335384","2016-11-11","Navy","Control","CO"
"335385","2016-11-11","Navy","Control","CO"
"335386","2016-11-11","Navy","Control","CO"
"335387","2016-11-11","Navy","Control","CO"
"335388","2016-11-11","Navy","Control","CO"
"335389","2016-11-11","Navy","Control","CO"
"335390","2016-11-11","Navy","Control","CO"
"335391","2016-11-11","Navy","Control","CO"
"335392","2016-11-11","Navy","Control","CO"
"335393","2016-11-11","Navy","Control","CO"
"335394","2016-11-11","Navy","Control","CO"
"335395","2016-11-11","Navy","Control","CO"
"335396","2016-11-11","Navy","Control","CO"
"335397","2016-11-11","Navy","Control","CO"
"335398","2016-11-11","Navy","Control","CO"
"335399","2016-11-11","Navy","Control","CO"
"335400","2016-11-11","Navy","Control","CO"
"335401","2016-11-11","Navy","Control","CO"
"335402","2016-11-11","Navy","Control","CO"
"335403","2016-11-11","Navy","Control","CO"
"335404","2016-11-11","Navy","Control","CO"
"335405","2016-11-11","Navy","Control","CO"
"335406","2016-11-11","Navy","Control","CO"
"335407","2016-11-11","Navy","Control","CO"
"335408","2016-11-11","Navy","Control","CO"
"335409","2016-11-11","Navy","Control","CO"
"335410","2016-11-11","Navy","Control","CO"
"335411","2016-11-11","Navy","Control","CO"
"335412","2016-11-11","Navy","Control","CO"
"335413","2016-11-11","Navy","Control","CO"
"335414","2016-11-11","Navy","Control","CO"
"335415","2016-11-11","Navy","Control","CO"
"335416","2016-11-11","Navy","Control","CO"
"335417","2016-11-11","Navy","Control","CO"
"335418","2016-11-11","Navy","Control","CO"
"335420","2016-11-11","Light Red Kidney","Control","PR"
"335421","2016-11-11","Light Red Kidney","Control","PR"
"335423","2016-11-11","Brown","Control","CO"
"335424","2016-11-11","Brown","Control","CO"
"335426","2016-11-11","Flor de Mayo","Control","CO"
"335427","2016-11-11","Flor de Mayo","Control","CO"
"335429","2016-11-11","Carioca","Control","PR"
"335430","2016-11-11","Carioca","Control","PR"
"335431","2016-11-11","Carioca","Control","CO"
"335432","2016-11-11","Carioca","Control","CO"
"335434","2016-11-11","Tan","Control","PR"
"335435","2016-11-11","Tan","Control","PR"
"335436","2016-11-11","Tan","Control","PR"
"335437","2016-11-11","Tan","Control","PR"
"335438","2016-11-11","Tan","Control","CO"
"335439","2016-11-11","Tan","Control","CO"
"335440","2016-11-11","Tan","Control","CO"
"335441","2016-11-11","Tan","Control","CO"
"335443","2016-11-11","Pinto","Control","PR"
"335444","2016-11-11","Pinto","Control","PR"
"335445","2016-11-11","Pinto","Control","PR"
"335446","2016-11-11","Pinto","Control","PR"
"335447","2016-11-11","Pinto","Control","PR"
"335448","2016-11-11","Pinto","Control","PR"
"335449","2016-11-11","Pinto","Control","PR"
"335450","2016-11-11","Pinto","Control","PR"
"335451","2016-11-11","Pinto","Control","PR"
"335452","2016-11-11","Pinto","Control","PR"
"335453","2016-11-11","Pinto","Control","PR"
"335454","2016-11-11","Pinto","Control","PR"
"335455","2016-11-11","Pinto","Control","PR"
"335456","2016-11-11","Pinto","Control","PR"
"335457","2016-11-11","Pinto","Control","PR"
"335458","2016-11-11","Pinto","Control","PR"
"335459","2016-11-11","Pinto","Control","PR"
"335460","2016-11-11","Pinto","Control","PR"
"335461","2016-11-11","Pinto","Control","PR"
"335462","2016-11-11","Pinto","Control","PR"
"335463","2016-11-11","Pinto","Control","PR"
"335464","2016-11-11","Pinto","Control","PR"
"335465","2016-11-11","Pinto","Control","PR"
"335466","2016-11-11","Pinto","Control","PR"
"335467","2016-11-11","Pinto","Control","PR"
"335468","2016-11-11","Pinto","Control","PR"
"335469","2016-11-11","Pinto","Control","PR"
"335470","2016-11-11","Pinto","Control","PR"
"335471","2016-11-11","Pinto","Control","PR"
"335472","2016-11-11","Pinto","Control","PR"
"335473","2016-11-11","Pinto","Control","PR"
"335474","2016-11-11","Pinto","Control","PR"
"335475","2016-11-11","Pinto","Control","PR"
"335476","2016-11-11","Pinto","Control","PR"
"335477","2016-11-11","Pinto","Control","PR"
"335478","2016-11-11","Pinto","Control","PR"
"335479","2016-11-11","Pinto","Control","PR"
"335480","2016-11-11","Pinto","Control","PR"
"335481","2016-11-11","Pinto","Control","PR"
"335482","2016-11-11","Pinto","Control","PR"
"335483","2016-11-11","Pinto","Control","PR"
"335484","2016-11-11","Pinto","Control","PR"
"335485","2016-11-11","Pinto","Control","PR"
"335486","2016-11-11","Pinto","Control","PR"
"335487","2016-11-11","Pinto","Control","PR"
"335488","2016-11-11","Pinto","Control","PR"
"335489","2016-11-11","Pinto","Control","PR"
"335490","2016-11-11","Pinto","Control","PR"
"335491","2016-11-11","Pinto","Control","PR"
"335492","2016-11-11","Pinto","Control","PR"
"335493","2016-11-11","Pinto","Control","PR"
"335494","2016-11-11","Pinto","Control","PR"
"335495","2016-11-11","Pinto","Control","PR"
"335496","2016-11-11","Pinto","Control","PR"
"335497","2016-11-11","Pinto","Control","PR"
"335498","2016-11-11","Pinto","Control","PR"
"335499","2016-11-11","Pinto","Control","PR"
"335500","2016-11-11","Pinto","Control","PR"
"335501","2016-11-11","Pinto","Control","PR"
"335502","2016-11-11","Pinto","Control","PR"
"335503","2016-11-11","Pinto","Control","PR"
"335504","2016-11-11","Pinto","Control","PR"
"335505","2016-11-11","Pinto","Control","CO"
"335506","2016-11-11","Pinto","Control","CO"
"335507","2016-11-11","Pinto","Control","CO"
"335508","2016-11-11","Pinto","Control","CO"
"335509","2016-11-11","Pinto","Control","CO"
"335510","2016-11-11","Pinto","Control","CO"
"335511","2016-11-11","Pinto","Control","CO"
"335512","2016-11-11","Pinto","Control","CO"
"335513","2016-11-11","Pinto","Control","CO"
"335514","2016-11-11","Pinto","Control","CO"
"335515","2016-11-11","Pinto","Control","CO"
"335516","2016-11-11","Pinto","Control","CO"
"335517","2016-11-11","Pinto","Control","CO"
"335518","2016-11-11","Pinto","Control","CO"
"335519","2016-11-11","Pinto","Control","CO"
"335520","2016-11-11","Pinto","Control","CO"
"335521","2016-11-11","Pinto","Control","CO"
"335522","2016-11-11","Pinto","Control","CO"
"335523","2016-11-11","Pinto","Control","CO"
"335524","2016-11-11","Pinto","Control","CO"
"335525","2016-11-11","Pinto","Control","CO"
"335526","2016-11-11","Pinto","Control","CO"
"335527","2016-11-11","Pinto","Control","CO"
"335528","2016-11-11","Pinto","Control","CO"
"335529","2016-11-11","Pinto","Control","CO"
"335530","2016-11-11","Pinto","Control","CO"
"335531","2016-11-11","Pinto","Control","CO"
"335532","2016-11-11","Pinto","Control","CO"
"335533","2016-11-11","Pinto","Control","CO"
"335534","2016-11-11","Pinto","Control","CO"
"335535","2016-11-11","Pinto","Control","CO"
"335536","2016-11-11","Pinto","Control","CO"
"335537","2016-11-11","Pinto","Control","CO"
"335538","2016-11-11","Pinto","Control","CO"
"335539","2016-11-11","Pinto","Control","CO"
"335540","2016-11-11","Pinto","Control","CO"
"335541","2016-11-11","Pinto","Control","CO"
"335542","2016-11-11","Pinto","Control","CO"
"335543","2016-11-11","Pinto","Control","CO"
"335544","2016-11-11","Pinto","Control","CO"
"335545","2016-11-11","Pinto","Control","CO"
"335546","2016-11-11","Pinto","Control","CO"
"335547","2016-11-11","Pinto","Control","CO"
"335548","2016-11-11","Pinto","Control","CO"
"335549","2016-11-11","Pinto","Control","CO"
"335550","2016-11-11","Pinto","Control","CO"
"335551","2016-11-11","Pinto","Control","CO"
"335552","2016-11-11","Pinto","Control","CO"
"335553","2016-11-11","Pinto","Control","CO"
"335554","2016-11-11","Pinto","Control","CO"
"335555","2016-11-11","Pinto","Control","CO"
"335556","2016-11-11","Pinto","Control","CO"
"335557","2016-11-11","Pinto","Control","CO"
"335558","2016-11-11","Pinto","Control","CO"
"335559","2016-11-11","Pinto","Control","CO"
"335560","2016-11-11","Pinto","Control","CO"
"335561","2016-11-11","Pinto","Control","CO"
"335562","2016-11-11","Pinto","Control","CO"
"335563","2016-11-11","Pinto","Control","CO"
"335564","2016-11-11","Pinto","Control","CO"
"335565","2016-11-11","Pinto","Control","CO"
"335566","2016-11-11","Pinto","Control","CO"
"335567","2016-11-11","Pinto","Control","CO"
"335568","2016-11-11","Pinto","Control","CO"
"335569","2016-11-11","Pinto","Control","CO"
"335570","2016-11-11","Pinto","Control","CO"
"335571","2016-11-11","Pinto","Control","CO"
"335572","2016-11-11","Pinto","Control","CO"
"335573","2016-11-11","Pinto","Control","CO"
"335574","2016-11-11","Pinto","Control","CO"
"335575","2016-11-11","Pinto","Control","CO"
"335576","2016-11-11","Pinto","Control","CO"
"335577","2016-11-11","Pinto","Control","CO"
"335578","2016-11-11","Pinto","Control","CO"
"335579","2016-11-11","Pinto","Control","CO"
"335580","2016-11-11","Pinto","Control","CO"
"335581","2016-11-11","Pinto","Control","CO"
"335582","2016-11-11","Pinto","Control","CO"
"335583","2016-11-11","Pinto","Control","CO"
"335584","2016-11-11","Pinto","Control","CO"
"335585","2016-11-11","Pinto","Control","CO"
"335586","2016-11-11","Pinto","Control","CO"
"335587","2016-11-11","Pinto","Control","CO"
"335588","2016-11-11","Pinto","Control","CO"
"335589","2016-11-11","Pinto","Control","CO"
"335590","2016-11-11","Pinto","Control","CO"
"335591","2016-11-11","Pinto","Control","CO"
"335592","2016-11-11","Pinto","Control","CO"
"335593","2016-11-11","Pinto","Control","CO"
"335594","2016-11-11","Pinto","Control","CO"
"335595","2016-11-11","Pinto","Control","CO"
"335596","2016-11-11","Pinto","Control","CO"
"335597","2016-11-11","Pinto","Control","CO"
"335598","2016-11-11","Pinto","Control","CO"
"335599","2016-11-11","Pinto","Control","CO"
"335600","2016-11-11","Pinto","Control","CO"
"335601","2016-11-11","Pinto","Control","CO"
"335602","2016-11-11","Pinto","Control","CO"
"335603","2016-11-11","Pinto","Control","CO"
"335604","2016-11-11","Pinto","Control","CO"
"335605","2016-11-11","Pinto","Control","CO"
"335606","2016-11-11","Pinto","Control","CO"
"335607","2016-11-11","Pinto","Control","CO"
"335608","2016-11-11","Pinto","Control","CO"
"335609","2016-11-11","Pinto","Control","CO"
"335610","2016-11-11","Pinto","Control","CO"
"335611","2016-11-11","Pinto","Control","CO"
"335612","2016-11-11","Pinto","Control","CO"
"335613","2016-11-11","Pinto","Control","CO"
"335614","2016-11-11","Pinto","Control","CO"
"335615","2016-11-11","Pinto","Control","CO"
"335616","2016-11-11","Pinto","Control","CO"
"335617","2016-11-11","Pinto","Control","CO"
"335618","2016-11-11","Pinto","Control","CO"
"335619","2016-11-11","Pinto","Control","CO"
"335620","2016-11-11","Pinto","Control","CO"
"335621","2016-11-11","Pinto","Control","CO"
"335622","2016-11-11","Pinto","Control","CO"
"335623","2016-11-11","Pinto","Control","CO"
"335624","2016-11-11","Pinto","Control","CO"
"335625","2016-11-11","Pinto","Control","CO"
"335626","2016-11-11","Pinto","Control","CO"
"335627","2016-11-11","Pinto","Control","CO"
"335628","2016-11-11","Pinto","Control","CO"
"335629","2016-11-11","Pinto","Control","CO"
"335630","2016-11-11","Pinto","Control","CO"
"335631","2016-11-11","Pinto","Control","CO"
"335632","2016-11-11","Pinto","Control","CO"
"335633","2016-11-11","Pinto","Control","CO"
"335634","2016-11-11","Pinto","Control","CO"
