"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"1833152","321358","","","Ontology name for source","legume food product"
"1833151","321358","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001264"
"1833150","321358","","","FoodOn Ontology name for FDC item","hummus"
"1833149","321358","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_00003049"
"1832726","321358","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/3827"
"1833356","321360","","","Ontology name for source","vegetable food product"
"1833355","321360","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001261"
"1833354","321360","","","FoodOn Ontology name for FDC item","grape tomato (whole, raw)"
"1833353","321360","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_00003299"
"1832820","321360","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33090"
"1832819","321360","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/4081"
"1832932","321611","","","Ontology name for source","legume food product"
"1832931","321611","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001264"
"1832930","321611","","","FoodOn Ontology name for FDC item","green bean (canned)"
"1832929","321611","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03307712"
"1832619","321611","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33090"
"1832618","321611","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/3885"
"1833132","323121","","","Ontology name for source","sausage food product"
"1833131","323121","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001007"
"1833130","323121","","","FoodOn Ontology name for FDC item","hot dog"
"1833129","323121","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_00001009"
"5578","323121","0","1000","","hot dog, frank, wiener"
"1833220","323294","","","Ontology name for source","nut food product"
"1833219","323294","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001172"
"1833218","323294","","","FoodOn Ontology name for FDC item","almond (dry, roasted)"
"1833217","323294","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03311210"
"1832756","323294","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33090"
"1832755","323294","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/3755"
"1833160","323505","","","Ontology name for source","plant leaf vegetable food product"
"1833159","323505","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00002143"
"1833158","323505","","","FoodOn Ontology name for FDC item","kale leaf (whole, raw)"
"1833157","323505","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03304859"
"1832730","323505","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33090"
"1832729","323505","","","NCBI Taxon","http://purl.bioontology.org/ontology/NCBITAXON/3712"
"1833044","323604","","","Ontology name for source","egg food product"
"1833043","323604","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001277"
"1833042","323604","","","FoodOn Ontology name for FDC item","hen egg liquid (pasteurized, frozen)"
"1833041","323604","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03306265"
"1832675","323604","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
"1832674","323604","","","NCBI Taxon","http://purl.obolibrary.org/obo/NCBITaxon_9031"
"1833036","323697","","","Ontology name for source","egg food product"
"1833035","323697","","","Ontology ID for source","http://purl.obolibrary.org/obo/FOODON_00001275"
"1833034","323697","","","FoodOn Ontology name for FDC item","hen egg white (pasteurized, frozen)"
"1833033","323697","","","FoodOn Ontology ID for FDC item","http://purl.obolibrary.org/obo/FOODON_03304799"
"1832671","323697","","","NCBI Taxon Parent","http://purl.obolibrary.org/obo/NCBITaxon_33154"
