"id","fdc_id","name","pct_weight","is_refuse","gram_weight","data_points","min_year_acqured"
"56885","","Bone and connective tissue","0.1","Y","1.3","2",""
"56886","","External fat","1.0","Y","9.6","2",""
"56887","","Handling loss","0.2","N","2.0","2",""
"56888","","Seam fat","0.0","Y","0.0","2",""
"56889","","Separable Lean","98.7","N","994.0","2",""
"56890","","Total gram weight","","N","1010.0","2",""
"56891","","Bone and connective tissue","0.0","Y","0.0","6",""
"56892","","External fat","1.0","Y","1.3","6",""
"56893","","Handling loss","0.4","N","0.5","6",""
"56894","","Seam fat","0.0","Y","0.0","6",""
"56895","","Separable Lean","98.7","N","134.0","6",""
"56896","","Total gram weight","","N","136.0","6",""
"56897","","Separable Lean","99.3","N","782.0","2",""
"56898","","Total gram weight","","N","788.0","2",""
"56899","","Bone and connective tissue","0.4","Y","3.1","2",""
"56900","","External fat","0.1","Y","0.8","2",""
"56901","","Handling loss","0.2","N","1.9","2",""
"56902","","Seam fat","0.0","Y","0.0","2",""
"56903","","Bone and connective tissue","1.1","Y","7.1","2",""
"56904","","External fat","0.4","Y","2.3","2",""
"56905","","Handling loss","0.3","N","2.0","2",""
"56906","","Seam fat","0.0","Y","0.0","2",""
"56907","","Separable Lean","98.2","N","631.0","2",""
"56908","","Total gram weight","","N","643.0","2",""
"56909","","Bone and connective tissue","0.1","Y","0.4","2",""
"56910","","External fat","0.4","Y","2.5","2",""
"56911","","Handling loss","0.1","N","0.9","2",""
"56912","","Seam fat","1.4","Y","9.9","2",""
"56913","","Separable Lean","99.5","N","703.0","2",""
"56914","","Total gram weight","","N","707.0","2",""
"56915","","Bone and connective tissue","0.0","Y","0.0","2",""
"56916","","Separable Lean","99.8","N","689.0","2",""
"56917","","Total gram weight","","N","690.0","2",""
"56918","","External fat","0.1","Y","0.7","2",""
"56919","","Handling loss","0.0","N","0.3","2",""
"56920","","Seam fat","0.0","Y","0.0","2",""
"56921","","Bone and connective tissue","0.2","Y","1.1","2",""
"56922","","External fat","0.6","Y","4.0","2",""
"56923","","Handling loss","0.2","N","1.1","2",""
"56924","","Seam fat","0.0","Y","0.0","2",""
