"id","fdc_id","seq_num","amount","measure_unit_id","portion_description","modifier","gram_weight","data_points","footnote","min_year_acquired"
"118702","319875","","2.0","1001","","","35.8","1","",""
"118703","319880","","2.0","1001","","","36.2","1","",""
"118704","319881","","2.0","1001","","","33.4","1","",""
"118705","319886","","2.0","1001","","","33.2","1","",""
"118706","319889","","2.0","1001","","","34.6","1","",""
"118707","319895","","2.0","1001","","","34.8","1","",""
"118708","319897","","2.0","1001","","","31.4","1","",""
"118709","319902","","2.0","1001","","","32.0","1","",""
"118710","319904","","2.0","1001","","","32.2","1","",""
"118711","319922","","2.0","1001","","","33.6","1","",""
"118712","319924","","2.0","1001","","","32.4","1","",""
"118713","319940","","2.0","1001","","","36.0","1","",""
"118714","319942","","2.0","1001","","","35.8","1","",""
"118715","319959","","2.0","1001","","","34.8","1","",""
"118716","319962","","2.0","1001","","","35.2","1","",""
"118717","319979","","2.0","1001","","","30.4","1","",""
"118718","319980","","2.0","1001","","","32.0","1","",""
"118719","319985","","2.0","1001","","","35.4","1","",""
"118720","319988","","2.0","1001","","","35.6","1","",""
"118721","320006","","2.0","1001","","","33.0","1","",""
"118722","320009","","2.0","1001","","","34.0","1","",""
"118724","320026","","1.0","1000","","","223.0","1","",""
"118725","320032","","1.0","1000","","","224.0","1","",""
"118726","320038","","1.0","1000","","","232.0","1","",""
"118727","320044","","1.0","1000","","","224.0","1","",""
"118728","320063","","1.0","1000","","","228.0","1","",""
"118729","320063","","1.0","1009","","","30.5","1","",""
"118730","320063","","1.0","1045","","","976.0","1","",""
"118731","320086","","1.0","1000","","","230.0","1","",""
"118732","320105","","1.0","1000","","","217.0","1","",""
"118733","320125","","1.0","1000","","","224.0","1","",""
"118734","320144","","1.0","1000","","","226.0","1","",""
"118735","320166","","1.0","1000","","","220.0","1","",""
"118736","320173","","1.0","1000","","","231.0","1","",""
"118737","320180","","1.0","1000","","","226.0","1","",""
"118738","320186","","1.0","1000","","","228.0","1","",""
"118739","320192","","1.0","1000","","","229.0","1","",""
"118740","320198","","1.0","1000","","","222.0","1","",""
"118741","320204","","1.0","1000","","","229.0","1","",""
"118742","320211","","1.0","1000","","","228.0","1","",""
"118743","320231","","1.0","1000","","","237.0","1","",""
"118744","320254","","1.0","1000","","","228.0","1","",""
"118745","320276","","1.0","1000","","","227.0","1","",""
"118746","320299","","1.0","1000","","","226.0","1","",""
"118747","320308","","1.0","1000","","","231.0","1","",""
"118748","320314","","1.0","1000","","","232.0","1","",""
"118749","320333","","1.0","1000","","","228.0","1","",""
"118753","320354","","1.0","1046","","raw","838.0","2","",""
"118754","320355","","1.0","1054","","raw","130.0","6","",""
