"id","fdc_id","fdc_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"10437","321358","319984","","","","","","","","","",""
"10438","321358","320005","","","","","","","","","",""
"10434","321358","319939","","","","","","","","","",""
"10430","321358","319885","","","","","","","","","",""
"10431","321358","319894","","","","","","","","","",""
"10436","321358","319978","","","","","","","","","",""
"10429","321358","319879","","","","","","","","","",""
"10435","321358","319958","","","","","","","","","",""
"10432","321358","319901","","","","","","","","","",""
"10433","321358","319921","","","","","","","","","",""
"10428","321358","319874","","","","","","","","","",""
"10456","321359","320230","","","","","","","","","",""
"10443","321359","320062","","","","","","","","","",""
"10460","321359","320307","","","","","","","","","",""
"10447","321359","320143","","","","","","","","","",""
"10449","321359","320172","","","","","","","","","",""
"10442","321359","320043","","","","","","","","","",""
"10448","321359","320165","","","","","","","","","",""
"10441","321359","320037","","","","","","","","","",""
"10439","321359","320025","","","","","","","","","",""
"10462","321359","320332","","","","","","","","","",""
"10445","321359","320104","","","","","","","","","",""
"10446","321359","320124","","","","","","","","","",""
"10453","321359","320197","","","","","","","","","",""
"10450","321359","320179","","","","","","","","","",""
"10444","321359","320085","","","","","","","","","",""
"10457","321359","320253","","","","","","","","","",""
"10458","321359","320275","","","","","","","","","",""
"10459","321359","320298","","","","","","","","","",""
"10454","321359","320203","","","","","","","","","",""
"10455","321359","320210","","","","","","","","","",""
"10451","321359","320185","","","","","","","","","",""
"10452","321359","320191","","","","","","","","","",""
"10461","321359","320313","","","","","","","","","",""
"10440","321359","320031","","","","","","","","","",""
"10467","321360","320433","","","","","","","","","",""
"10466","321360","320428","","","","","","","","","",""
"10469","321360","320443","","","","","","","","","",""
"10478","321360","320499","","","","","","","","","",""
"10476","321360","320494","","","","","","","","","",""
"10470","321360","320451","","","","","","","","","",""
"10474","321360","320485","","","","","","","","","",""
"10463","321360","320413","","","","","","","","","",""
"10465","321360","320423","","","","","","","","","",""
"10471","321360","320460","","","","","","","","","",""
"10479","321360","320507","","","","","","","","","",""
"10464","321360","320418","","","","","","","","","",""
"10475","321360","320489","","","","","","","","","",""
"10468","321360","320438","","","","","","","","","",""
"10477","321360","320504","","","","","","","","","",""
"10473","321360","320480","","","","","","","","","",""
"10472","321360","320476","","","","","","","","","",""
"10480","321360","320512","","","","","","","","","",""
"10493","321505","321429","","","","","","","","","",""
"10485","321505","321384","","","","","","","","","",""
"10503","321505","321493","","","","","","","","","",""
"10488","321505","321400","","","","","","","","","",""
"10486","321505","321389","","","","","","","","","",""
"10487","321505","321394","","","","","","","","","",""
"10492","321505","321423","","","","","","","","","",""
"10494","321505","321435","","","","","","","","","",""
"10495","321505","321441","","","","","","","","","",""
"10489","321505","321406","","","","","","","","","",""
"10490","321505","321412","","","","","","","","","",""
"10500","321505","321475","","","","","","","","","",""
"10491","321505","321417","","","","","","","","","",""
"10483","321505","321373","","","","","","","","","",""
"10501","321505","321481","","","","","","","","","",""
"10499","321505","321464","","","","","","","","","",""
"10504","321505","321499","","","","","","","","","",""
"10498","321505","321458","","","","","","","","","",""
"10482","321505","321367","","","","","","","","","",""
"10502","321505","321487","","","","","","","","","",""
"10496","321505","321446","","","","","","","","","",""
"10484","321505","321379","","","","","","","","","",""
"10481","321505","321361","","","","","","","","","",""
"10497","321505","321452","","","","","","","","","",""
"10507","321611","321521","","","","","","","","","",""
"10510","321611","321547","","","","","","","","","",""
"10516","321611","321601","","","","","","","","","",""
"10514","321611","321582","","","","","","","","","",""
"10513","321611","321573","","","","","","","","","",""
"10505","321611","321506","","","","","","","","","",""
"10509","321611","321538","","","","","","","","","",""
