"fdc_id","brand_description","expiration_date","label_weight","location","acquisition_date","sales_type","sample_lot_nbr","sell_by_date","store_city","store_name","store_state","upc_code"
"319875","HUMMUS, SABRA CLASSIC","2015-11-09","","NE1","","","10:0823 ","","HASTINGS","ALLENS FOOD MART","NE","40822011143"
"319876","HUMMUS, SABRA CLASSIC","2015-11-09","","NE1","","","10:0823 ","","HASTINGS","ALLENS FOOD MART","NE","40822011143"
"319880","HUMMUS, SABRA CLASSIC","2015-11-02","","PA1","","","1 231 02160132","","PITTSBURGH","SHOP N SAVE","PA","40822011143"
"319881","HUMMUS, SABRA CLASSIC","2015-11-02","","AZ1","","","1 231 165302","","TUCSON","BASHAS MARKET","AZ","40822011143"
"319886","HUMMUS, SABRA CLASSIC","2015-11-13","","IA","","","3:38:52 ","","ESTHERVILLE","HY VEE FOOD STORE","IA","40822011143"
"319887","HUMMUS, SABRA CLASSIC","2015-11-13","","IA","","","3:38:42 AM","","ESTHERVILLE","HY VEE FOOD STORE","IA","40822011143"
"319888","HUMMUS, SABRA CLASSIC","2015-11-13","","IA","","","3:38:54 AM","","ESTHERVILLE","HY VEE FOOD STORE","IA","40822011143"
"319889","HUMMUS, SABRA CLASSIC","2015-10-12","","TX1","","","5:50:03 PM","","HOUSTON","RANDALLS FOOD MARKET","TX","40822011143"
"319890","HUMMUS, SABRA CLASSIC","2015-10-12","","TX1","","","5:52:40 PM","","HOUSTON","RANDALLS FOOD MARKET","TX","40822011143"
"319891","HUMMUS, SABRA CLASSIC","2015-10-12","","TX1","","","5:50:02 PM","","HOUSTON","RANDALLS FOOD MARKET","TX","40822011143"
"319895","HUMMUS, OTHER","2015-11-26","","CA2","","","6:57:00 AM","","BONITA","VONS MARKET","CA","79893110196"
"319896","HUMMUS, OTHER","2015-11-26","","CA2","","","6:57:00 AM","","BONITA","VONS MARKET","CA","79893110196"
"319897","HUMMUS, OTHER","2015-10-25","","IA","","","2024L3","","ESTHERVILLE","HY VEE FOOD STORE","IA","75450062366"
"319898","HUMMUS, OTHER","2015-10-25","","IA","","","2024L3","","ESTHERVILLE","HY VEE FOOD STORE","IA","75450062366"
"319902","HUMMUS, SABRA CLASSIC","2015-11-13","","IN1","","","12:3042","","NEWBURGH","SCHNUCK MARKET","IN","40822011143"
"319903","HUMMUS, SABRA CLASSIC","2015-11-13","","IN1","","","12:3041","","NEWBURGH","SCHNUCK MARKET","IN","40822011143"
"319904","HUMMUS, SABRA CLASSIC","2015-11-02","","CA1","","","142841","","PALMDALE","STATER BROS MKT","CA","40822011143"
