"fdc_id","fdc_id_of_sample_food"
"319877","319874"
"319878","319874"
"319882","319879"
"319883","319879"
"319884","319879"
"319892","319885"
"319893","319885"
"319899","319894"
"319900","319894"
"319906","319901"
"319907","319901"
"319908","319901"
"319909","319901"
"319910","319901"
"319911","319901"
"319912","319901"
"319913","319901"
"319914","319901"
"319915","319901"
"319916","319901"
"319917","319901"
"319918","319901"
"319919","319901"
"319920","319901"
"319926","319921"
"319927","319921"
"319928","319921"
"319929","319921"
"319930","319921"
"319931","319921"
"319932","319921"
"319933","319921"
"319934","319921"
"319935","319921"
"319936","319921"
"319937","319921"
"319938","319921"
"319944","319939"
"319945","319939"
"319946","319939"
"319947","319939"
"319948","319939"
"319949","319939"
"319950","319939"
"319951","319939"
"319952","319939"
"319953","319939"
"319954","319939"
"319955","319939"
"319956","319939"
"319957","319939"
"319965","319958"
"319966","319958"
"319967","319958"
"319968","319958"
"319969","319958"
"319970","319958"
"319971","319958"
"319972","319958"
"319973","319958"
"319974","319958"
"319975","319958"
"319976","319958"
"319977","319958"
"319981","319978"
"319982","319978"
"319983","319978"
"319991","319984"
"319992","319984"
"319993","319984"
"319994","319984"
"319995","319984"
"319996","319984"
"319997","319984"
"319998","319984"
"319999","319984"
"320000","319984"
"320001","319984"
"320002","319984"
"320003","319984"
"320004","319984"
"320011","320005"
"320012","320005"
"320013","320005"
"320014","320005"
"320015","320005"
"320016","320005"
"320017","320005"
"320018","320005"
"320019","320005"
"320020","320005"
"320021","320005"
"320022","320005"
"320023","320005"
"320027","320025"
"320028","320025"
"320029","320025"
"320030","320025"
"320033","320031"
"320034","320031"
"320035","320031"
"320036","320031"
"320039","320037"
"320040","320037"
"320041","320037"
"320042","320037"
"320045","320043"
"320046","320043"
"320047","320043"
"320048","320043"
"320049","320043"
"320050","320043"
"320051","320043"
"320052","320043"
"320053","320043"
"320054","320043"
"320055","320043"
"320056","320043"
"320057","320043"
"320058","320043"
"320059","320043"
"320060","320043"
"320061","320043"
"320064","320062"
"320065","320062"
"320066","320062"
"320067","320062"
"320068","320062"
"320069","320062"
"320070","320062"
"320071","320062"
"320072","320062"
"320073","320062"
"320074","320062"
"320075","320062"
"320076","320062"
"320077","320062"
"320078","320062"
"320079","320062"
"320080","320062"
"320081","320062"
"320082","320062"
"320083","320062"
"320084","320062"
"320087","320085"
"320088","320085"
"320089","320085"
"320090","320085"
"320091","320085"
"320092","320085"
"320093","320085"
"320094","320085"
"320095","320085"
"320096","320085"
"320097","320085"
"320098","320085"
"320099","320085"
"320100","320085"
"320101","320085"
"320102","320085"
"320103","320085"
"320106","320104"
"320107","320104"
"320108","320104"
"320109","320104"
"320110","320104"
"320111","320104"
"320112","320104"
"320113","320104"
"320114","320104"
"320115","320104"
"320116","320104"
"320117","320104"
"320118","320104"
"320119","320104"
"320120","320104"
"320121","320104"
"320122","320104"
"320123","320104"
"320126","320124"
"320127","320124"
"320128","320124"
"320129","320124"
"320130","320124"
"320131","320124"
"320132","320124"
"320133","320124"
"320134","320124"
"320135","320124"
"320136","320124"
"320137","320124"
"320138","320124"
"320139","320124"
"320140","320124"
"320141","320124"
"320142","320124"
"320145","320143"
"320146","320143"
"320147","320143"
"320148","320143"
"320149","320143"
"320150","320143"
"320151","320143"
"320152","320143"
"320153","320143"
"320154","320143"
"320155","320143"
"320156","320143"
"320157","320143"
"320158","320143"
"320159","320143"
"320160","320143"
"320161","320143"
"320162","320143"
"320163","320143"
"320164","320143"
"320167","320165"
"320168","320165"
"320169","320165"
"320170","320165"
"320171","320165"
"320174","320172"
"320175","320172"
"320176","320172"
"320177","320172"
"320178","320172"
"320181","320179"
"320182","320179"
"320183","320179"
"320184","320179"
"320187","320185"
"320188","320185"
"320189","320185"
"320190","320185"
"320193","320191"
"320194","320191"
"320195","320191"
"320196","320191"
"320199","320197"
"320200","320197"
"320201","320197"
"320202","320197"
"320205","320203"
