"food_nutrient_id","adjusted_amount","lab_method_id","nutrient_name"
"2201844","1.98","1004","Ash"
"2201845","1.28","1001","Nitrogen by Dumas"
"2201846","19.0","1053","Fat"
"2201847","56.3","1007","Moisture"
"2201848","46.2","1009","Calcium"
"2201849","2.33","1009","Iron"
"2201850","75.9","1009","Magnesium"
"2201851","1.21","1009","Manganese"
"2201852","188.0","1009","Phosphorus"
"2201853","326.0","1009","Potassium"
"2201854","446.0","1009","Sodium"
"2201855","1.5","1009","Zinc"
"2201856","0.38","1009","Copper"
"2201857","1.99","1004","Ash"
"2201858","1.29","1001","Nitrogen by Dumas"
"2201859","18.7","1053","Fat"
"2201860","56.1","1007","Moisture"
"2201861","0.37","1015","Pantothenic Acid"
"2201862","444.0","1009","Sodium"
"2201863","1.47","1009","Zinc"
"2201864","327.0","1009","Potassium"
"2201865","190.0","1009","Phosphorus"
"2201866","1.2","1009","Manganese"
"2201867","81.4","1009","Magnesium"
"2201868","2.96","1009","Iron"
"2201869","0.394","1009","Copper"
"2201870","56.7","1009","Calcium"
"2201871","2.02","1004","Ash"
"2201872","1.25","1001","Nitrogen by Dumas"
"2201873","16.6","1053","Fat"
"2201874","58.2","1007","Moisture"
"2201875","2.72","1009","Iron"
"2201876","69.8","1009","Magnesium"
"2201877","1.18","1009","Manganese"
"2201878","179.0","1009","Phosphorus"
"2201879","320.0","1009","Potassium"
"2201880","387.0","1009","Sodium"
"2201881","1.42","1009","Zinc"
"2201882","0.382","1009","Copper"
"2201883","45.6","1009","Calcium"
"2201884","1.98","1004","Ash"
"2201885","1.1","1001","Nitrogen by Dumas"
"2201886","19.1","1053","Fat"
"2201887","57.6","1007","Moisture"
"2201888","2.07","1009","Iron"
"2201889","0.309","1009","Copper"
"2201890","38.0","1009","Calcium"
"2201891","0.95","1009","Manganese"
"2201892","143.0","1009","Phosphorus"
"2201893","68.5","1009","Magnesium"
"2201894","1.28","1009","Zinc"
"2201895","489.0","1009","Sodium"
"2201896","252.0","1009","Potassium"
"2201897","","1042","14:1 Tetradecenoic (Myristoleic)"
"2201898","0.048","1042","20:1 Eicosenoic (incl. Gadoleic)"
"2201899","","1042","22:1 Docosaenoic (Erucic)"
"2201900","8.56","1042","18:2 Octadecadienoic (Linoleic)"
"2201901","5.03","1042","18:1 Octadecenoic (incl. Oleic)"
"2201902","1.76","1042","16:0 Hexadecanoic (Palmitic)"
"2201903","0.077","1042","20:0 Eicosanoic (Arachidic)"
"2201904","0.771","1042","18:0 Octadecanoic (Stearic)"
"2201905","","1042","22:4 Docosatetraenoic"
"2201906","","1042","22:5 Docosapentaenoic"
"2201907","","1042","22:6 Docosahexaenoic"
"2201908","","1042","20:5 Eicosapentaenoic"
"2201909","","1042","22:2 Docosadienoic"
"2201910","","1042","4:0 Butanoic (Butyric)"
"2201911","0.044","1042","22:0 Docosanoic (Behenic)"
"2201912","0.022","1042","24:0 Tetracosanoic (Lignoceric)"
"2201913","0.018","1042","16:1 Hexadecenoic (Palmitoleic)"
